path,stratum,confidence,reason,imports_surface
core/timeouts.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/tools_config.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/toolset_validation.py,S4,HIGH,extension infrastructure (toolset),
core/urllib_security.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/version.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
model_tools.py,S3,HIGH,tool orchestration (core),
providers/__init__.py,S3,MEDIUM,provider ABC (core abstraction),
providers/base.py,S3,MEDIUM,provider ABC (core abstraction),
registration_lifecycle.py,S3,MEDIUM,tool registration lifecycle,
run_agent.py,S3,HIGH,agent loop (core),
sparkii_constants.py,S0,HIGH,constants (nucleus),
sparkii_logging.py,S0,HIGH,logging (nucleus),
sparkii_state.py,S3,HIGH,session DB (core),
sparkii_state_common.py,S3,HIGH,session DB (core),
sparkii_state_portability.py,S3,HIGH,session DB (core),
sparkii_state_schema.py,S3,HIGH,session DB (core),
sparkii_state_search.py,S3,HIGH,session DB (core),
sparkii_time.py,S0,HIGH,time helpers (nucleus),
tools/__init__.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/ansi_strip.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/apply_layout_tool.py,S5,HIGH,edge capability (apply_layout),
tools/approval.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/async_delegation.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/audio_container.py,S5,HIGH,edge capability (audio_container),
tools/binary_extensions.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/blueprints.py,S5,HIGH,edge capability (blueprint),
tools/bot_mode_probe.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/browser_camofox.py,S5,HIGH,edge capability (browser),
tools/browser_camofox_state.py,S5,HIGH,edge capability (browser),
tools/browser_cdp_tool.py,S5,HIGH,edge capability (browser),
tools/browser_dialog_tool.py,S5,HIGH,edge capability (browser),
tools/browser_supervisor.py,S5,HIGH,edge capability (browser),
tools/browser_tool.py,S5,HIGH,edge capability (browser),
tools/browser_use_cli.py,S5,HIGH,edge capability (browser),
tools/budget_config.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/checkpoint_manager.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/clarify_gateway.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/clarify_tool.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/close_preview_tool.py,S5,HIGH,edge capability (preview),
tools/close_terminal_tool.py,S5,HIGH,edge capability (close_terminal),
tools/code_execution_tool.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
